============ generation 0 ===============
0 {'chromosome': '0100000101000100', 'fitness': 4}
31 {'chromosome': '1111100000101100', 'fitness': 10}
32 {'chromosome': '1011100000101101', 'fitness': 10}
33 {'chromosome': '0011100100100010', 'fitness': 10}
34 {'chromosome': '1011000000111110', 'fitness': 10}
35 {'chromosome': '1110000000100110', 'fitness': 10}
36 {'chromosome': '0110100110111110', 'fitness': 10}
37 {'chromosome': '1011100000101101', 'fitness': 10}
38 {'chromosome': '1011000010010010', 'fitness': 10}
39 {'chromosome': '0010110010010010', 'fitness': 10}
40 {'chromosome': '1111010010101011', 'fitness': 10}
41 {'chromosome': '1110111110110011', 'fitness': 10}
42 {'chromosome': '0010000000100110', 'fitness': 10}
43 {'chromosome': '0110101110110011', 'fitness': 10}
44 {'chromosome': '0010010010110010', 'fitness': 10}
45 {'chromosome': '1011101000110100', 'fitness': 10}
46 {'chromosome': '1110101110000001', 'fitness': 10}
47 {'chromosome': '1010001110000001', 'fitness': 10}
48 {'chromosome': '1011011010110110', 'fitness': 10}
49 {'chromosome': '0010000000100110', 'fitness': 10}
50 {'chromosome': '1000010110101011', 'fitness': 10}
51 {'chromosome': '1010000000101101', 'fitness': 10}
52 {'chromosome': '1001111110110010', 'fitness': 10}
53 {'chromosome': '1100101010000100', 'fitness': 10}
54 {'chromosome': '1110010010100110', 'fitness': 10}
55 {'chromosome': '0000111110111110', 'fitness': 10}
56 {'chromosome': '1110111110110010', 'fitness': 11}
57 {'chromosome': '0110101110110010', 'fitness': 11}
58 {'chromosome': '1010001010000001', 'fitness': 11}
59 {'chromosome': '1010000000111000', 'fitness': 11}
60 {'chromosome': '0000100011001010', 'fitness': 11}
61 {'chromosome': '0010101011111001', 'fitness': 11}
62 {'chromosome': '1010000000100110', 'fitness': 11}
63 {'chromosome': '1010000000111000', 'fitness': 11}
64 {'chromosome': '1010000000111110', 'fitness': 11}
65 {'chromosome': '1011010000101010', 'fitness': 11}
66 {'chromosome': '1110000110101011', 'fitness': 11}
67 {'chromosome': '1010000000100110', 'fitness': 11}
68 {'chromosome': '1000000110100010', 'fitness': 11}
69 {'chromosome': '1010011110111110', 'fitness': 11}
70 {'chromosome': '0110100010111110', 'fitness': 11}
71 {'chromosome': '1011010000101010', 'fitness': 11}
72 {'chromosome': '1111111011100010', 'fitness': 11}
73 {'chromosome': '0011101000100110', 'fitness': 11}
74 {'chromosome': '1011101100001011', 'fitness': 11}
75 {'chromosome': '1011010000101010', 'fitness': 11}
76 {'chromosome': '1011010000101010', 'fitness': 11}
77 {'chromosome': '1010001010001101', 'fitness': 11}
78 {'chromosome': '1010001100111000', 'fitness': 11}
79 {'chromosome': '0110100111101010', 'fitness': 11}
80 {'chromosome': '1010000011101001', 'fitness': 11}
81 {'chromosome': '1010100100100010', 'fitness': 12}
82 {'chromosome': '1001111110101010', 'fitness': 12}
83 {'chromosome': '1011101110111110', 'fitness': 12}
84 {'chromosome': '1011101010000110', 'fitness': 12}
85 {'chromosome': '1110100010111110', 'fitness': 12}
86 {'chromosome': '1011100000101110', 'fitness': 12}
87 {'chromosome': '1110111110100010', 'fitness': 12}
88 {'chromosome': '1110100111101010', 'fitness': 12}
89 {'chromosome': '1011101010000110', 'fitness': 12}
90 {'chromosome': '1010011010110010', 'fitness': 12}
91 {'chromosome': '1111111011101010', 'fitness': 12}
92 {'chromosome': '0010101010001011', 'fitness': 13}
93 {'chromosome': '1010001010110010', 'fitness': 13}
94 {'chromosome': '1010100111101010', 'fitness': 13}
95 {'chromosome': '0010101010001110', 'fitness': 13}
96 {'chromosome': '1010010010101010', 'fitness': 13}
97 {'chromosome': '1010010010101010', 'fitness': 13}
98 {'chromosome': '1011101000111010', 'fitness': 13}
99 {'chromosome': '0010101010101010', 'fitness': 15}
============ generation 3 ===============
0 {'chromosome': '1111010110110011', 'fitness': 7}
1 {'chromosome': '1001110101001010', 'fitness': 8}
2 {'chromosome': '1001010110100110', 'fitness': 8}
3 {'chromosome': '0010010000100001', 'fitness': 8}
4 {'chromosome': '1110010010010110', 'fitness': 8}
5 {'chromosome': '0111111001000010', 'fitness': 8}
6 {'chromosome': '1011010001110010', 'fitness': 8}
7 {'chromosome': '1011010000111000', 'fitness': 9}
8 {'chromosome': '1111010010001011', 'fitness': 9}
9 {'chromosome': '0011100100100011', 'fitness': 9}
10 {'chromosome': '0111101100001011', 'fitness': 9}
11 {'chromosome': '1111111011110000', 'fitness': 9}
12 {'chromosome': '0011101000100101', 'fitness': 9}
13 {'chromosome': '0110000110101011', 'fitness': 10}
14 {'chromosome': '1011011010110110', 'fitness': 10}
15 {'chromosome': '1110001000110000', 'fitness': 10}
16 {'chromosome': '0011111110110010', 'fitness': 10}
17 {'chromosome': '1011010000101110', 'fitness': 10}
18 {'chromosome': '1011011010110110', 'fitness': 10}
19 {'chromosome': '1011111001001110', 'fitness': 10}
20 {'chromosome': '1010000000101101', 'fitness': 10}
21 {'chromosome': '1010010010111001', 'fitness': 10}
22 {'chromosome': '1010001110000001', 'fitness': 10}
23 {'chromosome': '1010000110110011', 'fitness': 10}
24 {'chromosome': '1111010010101110', 'fitness': 10}
25 {'chromosome': '1110111110110011', 'fitness': 10}
26 {'chromosome': '0000111110100110', 'fitness': 10}
27 {'chromosome': '1010110100100000', 'fitness': 10}
28 {'chromosome': '1011010000111010', 'fitness': 10}
29 {'chromosome': '0110101110010010', 'fitness': 10}
30 {'chromosome': '1110101110000001', 'fitness': 10}
31 {'chromosome': '1110010010100110', 'fitness': 10}
32 {'chromosome': '1011010000101110', 'fitness': 10}
33 {'chromosome': '1010000010001101', 'fitness': 10}
34 {'chromosome': '1011010000101110', 'fitness': 10}
35 {'chromosome': '1101010010101010', 'fitness': 10}
36 {'chromosome': '1011010000101011', 'fitness': 10}
37 {'chromosome': '1110111110111110', 'fitness': 11}
38 {'chromosome': '1011100000111000', 'fitness': 11}
39 {'chromosome': '1110100111100010', 'fitness': 11}
40 {'chromosome': '0010010010111010', 'fitness': 11}
41 {'chromosome': '1010000000111000', 'fitness': 11}
42 {'chromosome': '0000100010111110', 'fitness': 11}
43 {'chromosome': '1011010010101011', 'fitness': 11}
44 {'chromosome': '0110100111101010', 'fitness': 11}
45 {'chromosome': '1110101011111001', 'fitness': 11}
46 {'chromosome': '1010000000100110', 'fitness': 11}
47 {'chromosome': '1011111010000110', 'fitness': 11}
48 {'chromosome': '1011101100001011', 'fitness': 11}
49 {'chromosome': '1111101010000110', 'fitness': 11}
50 {'chromosome': '1011100000110010', 'fitness': 11}
51 {'chromosome': '1110000110101011', 'fitness': 11}
52 {'chromosome': '1011000000100010', 'fitness': 11}
53 {'chromosome': '0110111010110010', 'fitness': 11}
54 {'chromosome': '1110100011101001', 'fitness': 11}
55 {'chromosome': '0110100010111110', 'fitness': 11}
56 {'chromosome': '1010000011101001', 'fitness': 11}
57 {'chromosome': '1010001110011110', 'fitness': 11}
58 {'chromosome': '1011010000101010', 'fitness': 11}
59 {'chromosome': '1011010000101010', 'fitness': 11}
60 {'chromosome': '0110100111101010', 'fitness': 11}
61 {'chromosome': '1001111110101010', 'fitness': 12}
62 {'chromosome': '1010010010101110', 'fitness': 12}
63 {'chromosome': '1001111110101010', 'fitness': 12}
64 {'chromosome': '1110010010101010', 'fitness': 12}
65 {'chromosome': '1011101110111110', 'fitness': 12}
66 {'chromosome': '1011101010000110', 'fitness': 12}
67 {'chromosome': '1010000011101000', 'fitness': 12}
68 {'chromosome': '1011101000100110', 'fitness': 12}
69 {'chromosome': '1010000000101011', 'fitness': 12}
70 {'chromosome': '1011100000101110', 'fitness': 12}
71 {'chromosome': '0000100011101010', 'fitness': 12}
72 {'chromosome': '1011101010101101', 'fitness': 12}
73 {'chromosome': '1110000110101010', 'fitness': 12}
74 {'chromosome': '1010010000101010', 'fitness': 12}
75 {'chromosome': '1010010010101000', 'fitness': 12}
76 {'chromosome': '1011101010000110', 'fitness': 12}
77 {'chromosome': '1010010010100010', 'fitness': 12}
78 {'chromosome': '1000001010111110', 'fitness': 12}
79 {'chromosome': '0010101011001011', 'fitness': 12}
80 {'chromosome': '1110111110100010', 'fitness': 12}
81 {'chromosome': '1110100111101010', 'fitness': 12}
82 {'chromosome': '1010001010110110', 'fitness': 12}
83 {'chromosome': '1010001010001110', 'fitness': 13}
84 {'chromosome': '1010000000101010', 'fitness': 13}
85 {'chromosome': '1010010010101010', 'fitness': 13}
86 {'chromosome': '1010011000101010', 'fitness': 13}
87 {'chromosome': '1010100010111110', 'fitness': 13}
88 {'chromosome': '1000101010001011', 'fitness': 13}
89 {'chromosome': '1010000000101010', 'fitness': 13}
90 {'chromosome': '1010000011101010', 'fitness': 13}
91 {'chromosome': '0010101010001011', 'fitness': 13}
92 {'chromosome': '0010101011100010', 'fitness': 13}
93 {'chromosome': '1010100011001010', 'fitness': 13}
94 {'chromosome': '1011001010101010', 'fitness': 14}
95 {'chromosome': '1100101010101010', 'fitness': 14}
96 {'chromosome': '0010101010001010', 'fitness': 14}
97 {'chromosome': '1010100110101010', 'fitness': 14}
98 {'chromosome': '0010101010101010', 'fitness': 15}
99 {'chromosome': '0010101010101010', 'fitness': 15}
============ generation 4 ===============
0 {'chromosome': '1010010010001101', 'fitness': 9}
1 {'chromosome': '0110100100001011', 'fitness': 9}
2 {'chromosome': '1011010001100010', 'fitness': 9}
3 {'chromosome': '0001010000101010', 'fitness': 9}
4 {'chromosome': '1110000110110011', 'fitness': 9}
5 {'chromosome': '1011010000111110', 'fitness': 9}
6 {'chromosome': '1110010010100011', 'fitness': 10}
7 {'chromosome': '1011000000100011', 'fitness': 10}
8 {'chromosome': '1011010011100010', 'fitness': 10}
9 {'chromosome': '1001111110101001', 'fitness': 10}
10 {'chromosome': '1011101000100101', 'fitness': 10}
11 {'chromosome': '1110100011110000', 'fitness': 10}
12 {'chromosome': '1011010000111010', 'fitness': 10}
13 {'chromosome': '1010000000110010', 'fitness': 11}
14 {'chromosome': '1111101010000110', 'fitness': 11}
15 {'chromosome': '1011100000111000', 'fitness': 11}
16 {'chromosome': '0110100111101010', 'fitness': 11}
17 {'chromosome': '0110100010111110', 'fitness': 11}
18 {'chromosome': '1110100011101001', 'fitness': 11}
19 {'chromosome': '1011001110111110', 'fitness': 11}
20 {'chromosome': '1010111001001110', 'fitness': 11}
21 {'chromosome': '1110111110100011', 'fitness': 11}
22 {'chromosome': '1111001010001110', 'fitness': 11}
23 {'chromosome': '1110100111101011', 'fitness': 11}
24 {'chromosome': '1011101100001011', 'fitness': 11}
25 {'chromosome': '1110111110100011', 'fitness': 11}
26 {'chromosome': '0000100010110010', 'fitness': 11}
27 {'chromosome': '1010010011101000', 'fitness': 11}
28 {'chromosome': '1011100011101001', 'fitness': 11}
29 {'chromosome': '1011010000101010', 'fitness': 11}
30 {'chromosome': '0010010011101010', 'fitness': 11}
31 {'chromosome': '1100011000101010', 'fitness': 11}
32 {'chromosome': '1011010000101010', 'fitness': 11}
33 {'chromosome': '1010000000111000', 'fitness': 11}
34 {'chromosome': '1011000011101000', 'fitness': 11}
35 {'chromosome': '1011101100001011', 'fitness': 11}
36 {'chromosome': '0010010010101000', 'fitness': 11}
37 {'chromosome': '0010010010101110', 'fitness': 11}
38 {'chromosome': '1000000000101110', 'fitness': 11}
39 {'chromosome': '1010010010001110', 'fitness': 11}
40 {'chromosome': '1011010000101010', 'fitness': 11}
41 {'chromosome': '1010101110000001', 'fitness': 11}
42 {'chromosome': '1010000000101110', 'fitness': 12}
43 {'chromosome': '1110100010111110', 'fitness': 12}
44 {'chromosome': '1010010110101010', 'fitness': 12}
45 {'chromosome': '1011100000101110', 'fitness': 12}
46 {'chromosome': '1010100010111111', 'fitness': 12}
47 {'chromosome': '1011010010101010', 'fitness': 12}
48 {'chromosome': '1011101010000110', 'fitness': 12}
49 {'chromosome': '1000001010001011', 'fitness': 12}
50 {'chromosome': '0010001010001110', 'fitness': 12}
51 {'chromosome': '1010010010100010', 'fitness': 12}
52 {'chromosome': '1110101011111110', 'fitness': 12}
53 {'chromosome': '0010101010000110', 'fitness': 12}
54 {'chromosome': '1011000010100010', 'fitness': 12}
55 {'chromosome': '0010101000100110', 'fitness': 12}
56 {'chromosome': '1010000000111010', 'fitness': 12}
57 {'chromosome': '1110101000001011', 'fitness': 12}
58 {'chromosome': '0010111010110010', 'fitness': 12}
59 {'chromosome': '1010000000101110', 'fitness': 12}
60 {'chromosome': '1011101010101101', 'fitness': 12}
61 {'chromosome': '0010111110100010', 'fitness': 12}
62 {'chromosome': '1110010010101010', 'fitness': 12}
63 {'chromosome': '1010011000101010', 'fitness': 13}
64 {'chromosome': '1010100010111110', 'fitness': 13}
65 {'chromosome': '1110111110101010', 'fitness': 13}
66 {'chromosome': '1010000011101010', 'fitness': 13}
67 {'chromosome': '0010101010001011', 'fitness': 13}
68 {'chromosome': '1000101010111000', 'fitness': 13}
69 {'chromosome': '1011101010001011', 'fitness': 13}
70 {'chromosome': '0010101010001110', 'fitness': 13}
71 {'chromosome': '0010101010001110', 'fitness': 13}
72 {'chromosome': '1110111110101010', 'fitness': 13}
73 {'chromosome': '1010000010101000', 'fitness': 13}
74 {'chromosome': '1010001010001110', 'fitness': 13}
75 {'chromosome': '1010100011001010', 'fitness': 13}
76 {'chromosome': '1010000000101010', 'fitness': 13}
77 {'chromosome': '1011100000101010', 'fitness': 13}
78 {'chromosome': '1010011110101010', 'fitness': 13}
79 {'chromosome': '1011101010100110', 'fitness': 13}
80 {'chromosome': '1010100010111110', 'fitness': 13}
81 {'chromosome': '1010000000101010', 'fitness': 13}
82 {'chromosome': '1010000011101010', 'fitness': 13}
83 {'chromosome': '1110100000101010', 'fitness': 13}
84 {'chromosome': '1011111110101010', 'fitness': 13}
85 {'chromosome': '1010011000101010', 'fitness': 13}
86 {'chromosome': '1000101010001011', 'fitness': 13}
87 {'chromosome': '0010101000101110', 'fitness': 13}
88 {'chromosome': '1011001010101010', 'fitness': 14}
89 {'chromosome': '1000101010001010', 'fitness': 14}
90 {'chromosome': '1010000010101010', 'fitness': 14}
91 {'chromosome': '1010101011100010', 'fitness': 14}
92 {'chromosome': '1000101010101011', 'fitness': 14}
93 {'chromosome': '1010111110101010', 'fitness': 14}
94 {'chromosome': '1111101010101010', 'fitness': 14}
95 {'chromosome': '0010101011101010', 'fitness': 14}
96 {'chromosome': '1100101010101010', 'fitness': 14}
97 {'chromosome': '0010101010001010', 'fitness': 14}
98 {'chromosome': '0010101010101010', 'fitness': 15}
99 {'chromosome': '1010101010001010', 'fitness': 15}
============ generation 5 ===============
0 {'chromosome': '1011000011110000', 'fitness': 9}
1 {'chromosome': '1110111100100110', 'fitness': 10}
2 {'chromosome': '0010010010101111', 'fitness': 10}
3 {'chromosome': '1010010000111000', 'fitness': 10}
4 {'chromosome': '1011001110111110', 'fitness': 11}
5 {'chromosome': '0010011010110010', 'fitness': 11}
6 {'chromosome': '0011101010101101', 'fitness': 11}
7 {'chromosome': '1100011000101010', 'fitness': 11}
8 {'chromosome': '0010111110100110', 'fitness': 11}
9 {'chromosome': '1100011000101010', 'fitness': 11}
10 {'chromosome': '0010101010000001', 'fitness': 11}
11 {'chromosome': '1011010000101010', 'fitness': 11}
12 {'chromosome': '1011000011101000', 'fitness': 11}
13 {'chromosome': '0010110011101000', 'fitness': 11}
